"id","parent_id","name","label"
1,1,"Násilná","NÁSILNÁ TRESTNÁ ČINNOST"
2,1,"Násilná","vražda"
3,1,"Násilná","loupež"
4,1,"Násilná","vydírání"
5,1,"Násilná","Výtržnictví (bez mravnostního charakteru)"
6,1,"Násilná","Nebezpečné vyhrožování"
7,1,"Násilná","Rvačka"
8,1,"Násilná","Úmyslné ublížení na zdraví"
9,1,"Násilná","Útok proti výkonu pravomoci státního orgánu a úřední osoby"
10,1,"Násilná","Omezování osobní svobody (bez mravnostního charakteru)"
11,1,"Násilná","Únos"
12,1,"Násilná","Obchod s lidmi a lidskými orgány"
13,13,"Požáry výbuchy","POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY"
14,13,"Požáry výbuchy","Požár"
15,13,"Požáry výbuchy","Výbuch"
16,13,"Požáry výbuchy","Provozní havárie"
17,13,"Požáry výbuchy","Živelné pohromy nebezpečné zamoření"
18,18,"Krádeže vloupáním","KRÁDEŽE VLOUPÁNÍM"
19,18,"Krádeže vloupáním","Byt"
20,18,"Krádeže vloupáním","Rodinný domek"
21,18,"Krádeže vloupáním","Zemědělský objekt"
22,18,"Krádeže vloupáním","Prodejna"
23,18,"Krádeže vloupáním","Restaurace a jiná pohostinská zařízení"
24,18,"Krádeže vloupáním","Ubytovací objekt"
25,18,"Krádeže vloupáním","Rekreační objekt"
26,18,"Krádeže vloupáním","Kulturní objekt"
27,18,"Krádeže vloupáním","Sportovní objekt"
28,18,"Krádeže vloupáním","Úřad"
29,18,"Krádeže vloupáním","Podnik výrobní objekt"
30,18,"Krádeže vloupáním","Zdravotnický objekt"
31,18,"Krádeže vloupáním","Školský objekt"
32,18,"Krádeže vloupáním","Církevní objekt"
33,18,"Krádeže vloupáním","Peněžní ústav"
34,18,"Krádeže vloupáním","Jiný objekt"
35,35,"Krádeže","KRÁDEŽE"
36,35,"Krádeže","krádeže SPZ"
37,35,"Krádeže","Krádeže motorových vozidel - dvoustopých"
38,35,"Krádeže","Krádeže motorových vozidel - jednostopých"
39,35,"Krádeže","Přívěsy"
40,35,"Krádeže","Ostatní dopravní prostředky"
41,35,"Krádeže","Krádeže součástek a věcí (nebo PHM) z motorových vozidel včetně vloupání"
42,35,"Krádeže","Krádeže jízdních kol"
43,35,"Krádeže","Krádeže na osobách"
44,35,"Krádeže","Krádeže prodejních hracích a telefonních automatů jako celku"
45,35,"Krádeže","Krádeže obchodního majetku zaměstnancem"
46,35,"Krádeže","Krádeže uměleckých děl"
47,35,"Krádeže","Krádeže starožitností"
48,35,"Krádeže","Krádeže věcí v objektech (bez vloupání)"
49,35,"Krádeže","Krádeže věcí ve volném terénu"
50,35,"Krádeže","Krádeže přepravovaných zásilek"
51,35,"Krádeže","Pytláctví polní pych"
52,35,"Krádeže","Ostatní krádeže (bez vloupání)"
53,35,"Krádeže","Krádeže se vztahem k železniční přepravě osob"
54,54,"Podvody","PODVODY"
55,55,"Jiná majetková","OSTATNÍ MAJETKOVÁ TRESTNÁ ČINNOST"
56,55,"Jiná majetková","NEOPRÁVNĚNÉ PROVOZOVÁNÍ (VÝDĚLEČNÉ) ČINNOSTI"
57,55,"Jiná majetková","PORUŠOVÁNÍ PRAVIDEL HOSPODÁŘSKÉ SOUTĚŽE A KÁZNĚ"
58,55,"Jiná majetková","TRESTNÁ ČINNOST PROTI MĚNĚ"
59,55,"Jiná majetková","DAŇOVÁ TRESTNÁ ČINNOST"
60,55,"Jiná majetková","CELNÍ TRESTNÁ ČINNOST"
61,55,"Jiná majetková","PORUŠOVÁNÍ NEHMOTNÝCH PRÁV A NEKALÁ SOUTĚŽ"
62,55,"Jiná majetková","TRESTNÉ ČINY PROTI VEŘEJNÉMU ZÁJMU"
63,63,"Obecně nebezpečná","OBECNĚ NEBEZPEČNÁ TRESTNÁ ČINNOST"
64,63,"Obecně nebezpečná","Nelegální nakládání s odpady"
65,63,"Obecně nebezpečná","Nelegální nakládání s chráněnými druhy živočichů nebo rostlin"
66,63,"Obecně nebezpečná","Ohrožení životního prostředí"
67,63,"Obecně nebezpečná","Šíření poplašné zprávy (včetně přestupku)"
68,63,"Obecně nebezpečná","Ohrožování zdraví závadovým zbožím"
69,63,"Obecně nebezpečná","Nedovolené ozbrojování"
70,63,"Obecně nebezpečná","Ostatní"
71,63,"Obecně nebezpečná","Obecné ohrožení"
72,63,"Obecně nebezpečná","Porušování domovní svobody"
73,63,"Obecně nebezpečná","Oslňování laserem"
74,97,"PŘ – BESIP","Na úseku BESIP a silničního hospodářství"
75,97,"PŘ – alkohol a toxi","Na úseku ochrany před alkoholismem toxikomanií"
76,97,"PŘ – veřejný pořádek","Proti veřejnému pořádku a občanskému soužití"
77,97,"PŘ – majetek","Proti majetku"
78,97,"PŘ – ostatní","Ostatní přestupky"
79,79,"Dopravní nehody","DOPRAVNÍ NEHODY"
80,80,"Toxikománie","TOXIKOMÁNIE"
81,80,"Toxikománie","Nedovolená výroba  držení a prodej omamných látek a jedů"
82,80,"Toxikománie","Šíření toxikomanie"
83,80,"Toxikománie","Ostatní formy toxikomanie včetně přestupků"
84,84,"Zbraně","TRESTNÁ ČINNOST SE ZBRANÍ"
85,84,"Zbraně","střelná zbraň (palná plynová nebo mechanická)"
86,84,"Zbraně","chladná zbraň (bodná sečná úderná)"
87,84,"Zbraně","Výbušnina"
88,96,"Extremismus","Násilí proti skupině obyvatel a jednotlivci"
89,96,"Extremismus","Hanobení národa rasy a přesvědčení"
90,96,"Extremismus","Podněcování k národnostní a rasové nenávisti"
91,96,"Extremismus","Podpora a propagace  hnutí směřujících  k potlačení práv a svobod občanů"
92,96,"Extremismus","Omezování svobody vyznání"
93,96,"Extremismus","Divácké násilí"
94,96,"Extremismus","Ostatní projevy extremismu včetně přestupků"
95,96,"Extremismus","Sprayerství"
96,96,"Extremismus","EXTREMISMUS"
97,97,"Přestupky","Přestupky"
98,1,"násilná bez podtřídy","bez podtřídy"
99,13,"požáry bez podtřídy","bez podtřídy"
100,18,"vloupání bez podtřídy","bez podtřídy"
101,35,"krádeže bez podtřídy","bez podtřídy"
102,55,"jiná majetková bez podtřídy","bez podtřídy"
103,63,"obecně nebezpečná bez podtřídy","bez podtřídy"
104,80,"toxikománie bez podtřídy","bez podtřídy"
105,84,"zbraně bez podtřídy","bez podtřídy"
106,96,"extrémismus bez podtřídy","bez podtřídy"